date,Indexed Sales,Public Sector Holidays,Weekday,School,University,Tiktok View,Tiktok Follower Gain,Tiktok Phone click,Instagram View,Instagram Followers,Facebook View,Facebook Follow,Ramazan,catagory,Influncer Post,Event ,Public Sector Salary,Private Sector Salary,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Tiktok View_Lag1,Tiktok View_Lag2,Tiktok View_Lag3,Tiktok Phone click_Lag1,Tiktok Phone click_Lag2,Tiktok Phone click_Lag3,Instagram View_Lag1,Instagram View_Lag2,Instagram View_Lag3,Facebook View_Lag1,Facebook View_Lag2,Facebook View_Lag3,Tiktok View_5Day_Window,Tiktok Phone click_5Day_Window,Instagram View_5Day_Window,Facebook View_5Day_Window,Total_Combined_Income,is_salary_day,day_name
2025-01-09,0.486666667,0,1,1,1,,,,35187,,83378,24,0,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.486666667,0,Thursday
2025-01-11,0.36,0,0,1,1,,,,88490,63.0,80364,4,0,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,35187.0,,,83378.0,,,,,,,0.36,0,Saturday
2025-01-12,0.661333333,0,1,1,1,,,,74193,48.0,82990,5,0,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,88490.0,35187.0,,80364.0,83378.0,,,,344696.0,421724.0,0.661333333,0,Sunday
2025-01-13,0.626666667,0,1,1,1,,,,73528,182.0,84631,7,0,2,1,,0,0,,,,,,,,,,,,,,,,,,,,,74193.0,88490.0,35187.0,82990.0,80364.0,83378.0,,,345940.0,392559.0,0.626666667,0,Monday
2025-01-14,0.961,0,1,1,1,,,,73298,115.0,90361,6,0,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,73528.0,74193.0,88490.0,84631.0,82990.0,80364.0,,,263215.0,312540.0,0.961,0,Tuesday
2025-01-15,0.72,0,1,1,1,,,,36431,29.0,54213,2,0,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,73298.0,73528.0,74193.0,90361.0,84631.0,82990.0,,,198260.0,235802.0,0.72,0,Wednesday
2025-01-16,0.784,0,1,1,1,,,,5765,33.0,345,0,0,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,36431.0,73298.0,73528.0,54213.0,90361.0,84631.0,,,221392.0,291766.0,0.784,0,Thursday
2025-01-17,0.753333333,0,0,1,1,,,,9238,20.0,6252,1,0,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,5765.0,36431.0,73298.0,345.0,54213.0,90361.0,,,240634.0,335772.0,0.753333333,0,Friday
2025-01-18,0.626666667,0,0,1,1,,,,96660,26.0,140595,5,0,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,9238.0,5765.0,36431.0,6252.0,345.0,54213.0,,,280152.0,394522.0,0.626666667,0,Saturday
2025-01-19,0.606666667,0,1,0,1,,,,92540,26.0,134367,4,0,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,96660.0,9238.0,5765.0,140595.0,6252.0,345.0,,,279553.0,394685.0,0.606666667,0,Sunday
