date,item,quantity_sold,total_sales
2025-08-31 00:00:00,Coconut ,14,56000
2025-08-31 00:00:00,Maqluba lotus chocolat ,1,9000
2025-08-31 00:00:00,Maqluba lotus nuttela ,1,9000
2025-08-31 00:00:00,Croissant Sandwich chocolate ,2,9000
2025-08-31 00:00:00,Make your own ,3,12000
2025-08-31 00:00:00,Crunchy Lottus ,4,16000
2025-08-31 00:00:00,Oreo ,4,16000
2025-08-31 00:00:00,MIXED BERRY ,5,20000
2025-08-31 00:00:00,Maqluba oreo nuttela ,5,45000
2025-08-31 00:00:00,Verry Berry Hibiscus ,5,25000
2025-08-31 00:00:00,SPECIAL AND ICE CREAM CHOCOLATE ,6,36000
2025-08-31 00:00:00,SPECIAL AND ICE CREAM NUTTELA ,6,36000
2025-08-31 00:00:00,Dubai croissant chocolate ,7,38500
2025-08-31 00:00:00,Nutella ,7,28000
2025-08-31 00:00:00,Croissant & Ice cream nuttella ,9,40500
2025-08-31 00:00:00,Croissant sandwich nuttela ,9,40500
2025-08-31 00:00:00,Croissant & ice cream chocolate ,10,45000
2025-08-31 00:00:00,Fruit Chocolate ,10,50000
2025-08-31 00:00:00,Kinder Bueno ,10,40000
2025-08-31 00:00:00,Dubai Croissant nuttela ,11,60500
2025-08-31 00:00:00,Peach ,22,88000
2025-08-31 00:00:00,Fruit nuttela ,23,115000
2025-08-31 00:00:00,Pink Coco ,27,135000
2025-08-31 00:00:00,Tropigo ,29,116000
2025-08-31 00:00:00,Shklet Kabab chocolate ,31,124000
2025-08-31 00:00:00,Pistachio ,34,153000
2025-08-31 00:00:00,Mango ,54,216000
2025-08-31 00:00:00,Shklet Kabab nuttela ,57,228000
2025-08-31 00:00:00,Strawberry ,60,240000
2025-08-31 00:00:00,Mini Pancake chocolate ,62,310000
2025-08-31 00:00:00,water ,62,15500
2025-08-31 00:00:00,Orange Blossom ,76,304000
2025-08-31 00:00:00,Mini Pancakes nuttela ,107,535000
2025-08-31 00:00:00,Shklet fizz ,108,432000
2025-08-31 00:00:00,Dubai Special chocolate ,127,762000
2025-08-31 00:00:00,Maqluba chocolate ,164,1476000
2025-08-31 00:00:00,Dubai Special nuttela ,257,1542000
2025-08-31 00:00:00,Maqluba nuttela ,257,2313000
2025-08-31 00:00:00,Shklet Special chocolate ,279,1395000
2025-08-31 00:00:00,Shklet Special nuttela ,564,2820000
2025-09-30 00:00:00,Maqluba lotus nuttela ,3,27000
2025-09-30 00:00:00,Fruit Chocolate ,8,40000
2025-09-30 00:00:00,Maqluba lotus chocolat ,8,72000
2025-09-30 00:00:00,soda ,8,4000
