Date,Indexed Sales,Public Sector Holidays,Weekday,School,University,Tiktok View,Tiktok Follower Gain,Tiktok Phone click,Instagram View,Instagram Followers,Facebook View,Facebook Follow,Ramazan,catagory,Influncer Post,Event ,Public Sector Salary,Private Sector Salary
1.05.2025,0.093333333,0,1,1,1,,,,6294,,5014,2,0,2,0,,1,0
1.06.2025,0.186666667,0,1,1,1,,,,70724,,172113,50,0,2,0,,1,0
1.07.2025,0.157333333,0,1,1,1,,,,120754,,196122,12,0,2,0,,1,0
1.08.2025,0.202666667,0,1,1,1,,,,82649,,133132,18,0,2,0,,1,0
1.09.2025,0.486666667,0,1,1,1,,,,35187,,83378,24,0,2,0,,0,0
1.10.2025,0.333333333,0,0,1,1,,,,71453,,118291,20,0,2,0,,0,0
1.11.2025,0.36,0,0,1,1,,,,88490,63,80364,4,0,2,0,,0,0
1.12.2025,0.661333333,0,1,1,1,,,,74193,48,82990,5,0,2,0,,0,0
1.13.2025,0.626666667,0,1,1,1,,,,73528,182,84631,7,0,2,1,,0,0
1.14.2025,0.961,0,1,1,1,,,,73298,115,90361,6,0,2,0,,0,0
1.15.2025,0.72,0,1,1,1,,,,36431,29,54213,2,0,2,0,,0,0
1.16.2025,0.784,0,1,1,1,,,,5765,33,345,0,0,2,0,,0,0
1.17.2025,0.753333333,0,0,1,1,,,,9238,20,6252,1,0,2,0,,0,0
1.18.2025,0.626666667,0,0,1,1,,,,96660,26,140595,5,0,2,0,,0,0
1.19.2025,0.606666667,0,1,0,1,,,,92540,26,134367,4,0,2,0,,0,0
1.20.2025,0.59,0,1,0,1,,,,75949,13,112963,2,0,2,0,,0,0
1.21.2025,0.573333333,0,1,0,1,,,,5166,19,508,0,0,2,0,,0,0
1.22.2025,0.659333333,0,1,0,1,,,,2982,22,14,0,0,2,0,,0,0
1.23.2025,0.646666667,0,1,0,1,,,,2581,20,93,1,0,2,0,,0,0
1.24.2025,0.731333333,0,0,0,1,,,,2243,21,33,0,0,2,0,,0,0
1.25.2025,0.568,0,0,0,1,,,,2300,21,38,0,0,2,0,,0,0
1.26.2025,0.72,0,1,1,1,,,,11874,114,71,0,0,2,0,,0,0
1.27.2025,0.562,0,1,1,1,,,,8148,110,26,0,0,2,0,,0,0
1.28.2025,0.733333333,0,1,1,1,,,,7279,33,8,0,0,2,0,,0,0
1.29.2025,0.749333333,0,1,1,1,,,,11262,30,66,1,0,2,0,,0,0
1.30.2025,0.686666667,0,1,1,1,,,,51035,15,50724,2,0,2,0,,0,0
1.31.2025,0.6,0,0,1,1,,,,67557,28,61571,2,0,2,0,,0,0
2.01.2025,0.94,0,0,1,1,,,,63682,26,60371,3,0,2,0,,0,1
2.02.2025,0.573333333,0,1,1,1,,,,73620,12,90468,2,0,2,0,,0,0
2.03.2025,0.653333333,0,1,1,1,,,,83321,12,104323,6,0,3,0,,0,0
2.04.2025,0.786666667,0,1,1,1,,,,84148,16,114164,4,0,3,0,,0,0
2.05.2025,0.762,0,1,1,1,,,,47498,24,65859,2,0,3,0,,1,0
2.06.2025,0.701333333,0,1,1,1,,,,42141,28,52739,4,0,3,0,,1,0
2.07.2025,0.949333333,0,0,1,1,,,,42379,10,36955,2,0,3,0,,1,0
2.08.2025,0.930666667,0,0,1,1,,,,21902,13,11647,0,0,3,0,,0,0
2.09.2025,0.712,0,1,1,1,,,,1554,14,16,0,0,3,0,,0,0
2.10.2025,0.601333333,0,1,1,1,,,,18584,41,32688,1,0,3,0,,0,0
2.11.2025,0.696666667,0,1,1,1,,,,19542,34,45964,1,0,3,0,,0,0
2.12.2025,0.666666667,0,1,1,1,,,,21586,94,46213,1,0,3,0,,0,0
2.13.2025,1.180666667,0,1,1,1,,,,38276,360,84478,25,0,3,1,,0,0
2.14.2025,1.138,0,0,1,1,,,,29685,32,53866,12,0,3,0,,0,0
2.15.2025,0.926666667,0,0,1,1,,,,41239,50,53109,10,0,3,0,,0,0
2.16.2025,0.982666667,0,1,1,1,,,,42816,59,30024,0,0,3,0,,0,0
2.17.2025,0.882666667,0,1,1,1,,,,103794,108,169927,7,0,3,0,,0,0
2.18.2025,0.814666667,0,1,1,1,,,,99261,62,150601,4,0,3,0,,0,0
2.19.2025,0.966666667,0,1,1,1,,,,94630,34,114230,2,0,3,0,,0,0
2.20.2025,1.441333333,0,1,1,1,,,,49099,25,60906,7,0,3,0,,0,0
2.21.2025,1.76,0,0,1,1,,,,12770,38,6287,0,0,3,0,,0,0
2.22.2025,1.090666667,0,0,1,1,,,,13046,51,6471,9,0,3,0,,0,0
2.23.2025,1.066666667,0,1,1,1,,,,7188,57,1963,0,0,3,0,,0,0
2.24.2025,0.893333333,0,1,1,1,,,,2083,25,78,0,0,3,0,,0,0
2.25.2025,0.862,0,1,1,1,,,,11636,54,312,0,0,3,0,,0,0
2.26.2025,1.22,0,1,1,1,,,,16522,98,85,0,0,3,0,,0,0
2.27.2025,1.333333333,0,1,1,1,,,,10528,47,94,0,0,3,0,,0,0
2.28.2025,1.422666667,0,0,1,1,,,,17482,41,8206,1,0,3,0,,0,0
3.01.2025,1.685333333,1,0,1,1,,,,73681,769,51341,4,1,5,1,,0,1
3.02.2025,2.393333333,0,1,1,1,,,,102943,1242,50994,9,1,5,0,,0,0
3.03.2025,2.699333333,0,1,1,1,,,,62386,408,54281,19,1,5,0,,0,0
3.04.2025,2.832,0,1,1,1,,,,51569,253,42496,7,1,5,0,,0,0
