variable,lag_days,pearson_r,p_value,n
TikTok View,0,0.11216178545967663,0.03313780644800541,361
TikTok View,1,0.09995205280942922,0.05814430867860858,360
TikTok View,2,0.10149193432132056,0.054699585643529544,359
TikTok View,3,0.08037723859237918,0.12902776791802,358
TikTok View,4,0.06724684668041941,0.20495120025224361,357
TikTok View,5,0.05035872421680325,0.3434216966178802,356
TikTok View,6,0.0453509342048497,0.39426856554713013,355
TikTok View,7,0.01215412214089397,0.8197410351761102,354
TikTok Follower Gain,0,0.2674863036431419,2.483815158811703e-07,361
TikTok Follower Gain,1,0.2577119369804847,7.169748353228869e-07,360
TikTok Follower Gain,2,0.2491588382865045,1.7528166750394904e-06,359
TikTok Follower Gain,3,0.23705414690769416,5.77721838130675e-06,358
TikTok Follower Gain,4,0.22282554759124826,2.1478630921516796e-05,357
TikTok Follower Gain,5,0.21436324128877166,4.5449347758169705e-05,356
TikTok Follower Gain,6,0.2096470240022937,6.878693538373488e-05,355
TikTok Follower Gain,7,0.1680486829557315,0.001507528797750331,354
TikTok Phone Click,0,0.4445858657415457,6.368726366061258e-19,361
TikTok Phone Click,1,0.43041833514912076,1.1430482204910312e-17,360
TikTok Phone Click,2,0.39506095060178537,7.374489130116258e-15,359
TikTok Phone Click,3,0.3738780439397553,2.5472777770917917e-13,358
TikTok Phone Click,4,0.3527960595114271,6.67367878497592e-12,357
TikTok Phone Click,5,0.3464858768377128,1.7691778500491744e-11,356
TikTok Phone Click,6,0.34101597396889516,4.070362813867016e-11,355
TikTok Phone Click,7,0.31396506501313726,1.5438015568254083e-09,354
Instagram View,0,0.08721631243435879,0.09802252335341859,361
Instagram View,1,0.11393283978762926,0.030676215270231448,360
Instagram View,2,0.13482515683075216,0.010547311366293019,359
Instagram View,3,0.11020306170652715,0.037142016139998915,358
Instagram View,4,0.09213571550591157,0.0821320329982335,357
Instagram View,5,0.05838372104249021,0.27192292119163236,356
Instagram View,6,0.021823767493069322,0.6819600837550311,355
Instagram View,7,0.015227455962201894,0.7752564171332774,354
Instagram Followers,0,0.2792770722607156,6.829740876776249e-08,361
Instagram Followers,1,0.32345435002886047,3.267333518188054e-10,360
Instagram Followers,2,0.34239432884426,2.603443225674444e-11,359
Instagram Followers,3,0.2979646941550102,8.969400907642286e-09,358
Instagram Followers,4,0.2752335748121463,1.2600869222525427e-07,357
Instagram Followers,5,0.2673141521095064,3.0651957935668587e-07,356
Instagram Followers,6,0.23419951112060192,8.224163847896435e-06,355
Instagram Followers,7,0.2502313270534857,1.8654346958450436e-06,354
Facebook View,0,0.10875321579229277,0.03889707155177988,361
Facebook View,1,0.11740131370964363,0.025914227036556853,360
Facebook View,2,0.12433570637181707,0.018435082773116288,359
Facebook View,3,0.12966651426293319,0.014080662162444668,358
Facebook View,4,0.08375464901709177,0.11417001653565725,357
Facebook View,5,0.0488651431460031,0.35794264784232693,356
Facebook View,6,0.0270861860683888,0.6110071924018576,355
Facebook View,7,0.012103951511460253,0.8204724618656202,354
Facebook Follow,0,0.043328874655357785,0.41177215510438,361
Facebook Follow,1,0.042722994986861176,0.4189974678151665,360
Facebook Follow,2,0.04924275504328313,0.352201468645163,359
Facebook Follow,3,0.06087234614705731,0.25063991976885847,358
Facebook Follow,4,0.027223991783848996,0.6081799080666934,357
Facebook Follow,5,-0.005581311141704891,0.9164246682574416,356
Facebook Follow,6,-0.03020788488679692,0.5705224006339411,355
Facebook Follow,7,-0.043379940964911705,0.4158253695031186,354
Event,0,0.3274211077797402,1.8174339245798238e-10,361
Event,1,0.3374354325562804,4.9007030386960556e-11,360
Event,2,0.27210637555652334,1.6334950252336708e-07,359
Event,3,0.20593506293401587,8.673045524516943e-05,358
Event,4,0.1458443060107397,0.005766718942382135,357
Event,5,0.17982141467023094,0.0006525923687598329,356
Event,6,0.15981387781970466,0.0025282702459193725,355
Event,7,0.15443276979817422,0.003581436984640316,354
Influencer Post,0,0.03531736549849113,0.5035519769195376,361
Influencer Post,1,0.04899164045503566,0.35399147528992264,360
Influencer Post,2,0.0377708836734087,0.4755890816157631,359
Influencer Post,3,0.02915793677945426,0.5824006012413562,358
Influencer Post,4,-0.0461164662500992,0.38498311477825553,357
Influencer Post,5,-0.01373200712942969,0.7962556830924006,356
Influencer Post,6,-0.0218562974313494,0.6815119175759224,355
Influencer Post,7,0.08682290723629789,0.10291847186906085,354
