platform,lag_days,n_on,mean_on,mean_off,uplift_pct,t_stat,p_value
TikTok,0,75,1.2562977778666666,1.1752478088111888,6.896415245178211,1.1984403104097108,0.23290288337298687
TikTok,1,75,1.2560290845333333,1.1753182703496503,6.8671453698811336,1.2795553009225216,0.20270090135126578
TikTok,2,75,1.2638088889333332,1.1732781118531468,7.716054374967984,1.4235684739354217,0.15670675834425235
TikTok,3,75,1.2539777778133334,1.1758562004335666,6.643803668421477,1.2381263331697552,0.21762746984809272
TikTok,4,75,1.2555288889466667,1.175449440520979,6.812666344049223,1.293317242900588,0.19784330553091192
TikTok,5,75,1.25937130672,1.1744418134825174,7.23147730798559,1.3924210189808672,0.1657494170766144
TikTok,6,75,1.2769005867333332,1.1698449743181818,9.151264891106315,1.7318188924181963,0.08531239202447596
TikTok,7,75,1.2091450311599998,1.187613039590909,1.8130477564062275,0.36045878188996106,0.7189630636010836
Instagram,0,91,1.2418957656043954,1.1752988592222222,5.6663805856363325,0.8434407017377069,0.40057172309025
Instagram,1,91,1.3025184762417579,1.1548667604518519,12.785173220513846,1.8646649894756824,0.06456580171406158
Instagram,2,91,1.2927692308461538,1.1581526172333332,11.623391564265617,1.7203847020038912,0.08778845664176056
Instagram,3,91,1.300131868142857,1.1556711357740739,12.500159249198761,1.8104013734333233,0.07264973821626915
Instagram,4,91,1.306040293076923,1.1536797777407404,13.206482273144404,1.8989748012762946,0.05990377692494297
Instagram,5,91,1.2685833992637363,1.1663041382481478,8.769518829729739,1.2672759842725976,0.20745043980542627
Instagram,6,91,1.2566420073076923,1.170328829611111,7.375121889910408,1.0865327413888375,0.27932456935581584
Instagram,7,91,1.2417885274725275,1.1753350024444444,5.65400714603701,0.8520287858384381,0.3957805579122433
Facebook,0,91,1.2591391941758243,1.169487185148148,7.665924874270358,1.1023233971993038,0.2724911047267787
Facebook,1,91,1.2993756190989012,1.155926019711111,12.40992909075973,1.760100247697835,0.08091445329257724
Facebook,2,91,1.2753116777252747,1.1640364592111108,9.559427252783582,1.3892873319749177,0.16723361465055414
Facebook,3,91,1.271516805857143,1.1653154715814815,9.113526496952185,1.3274174765238458,0.18680355197401424
Facebook,4,91,1.242370285692308,1.1751389283777778,5.72114119369187,0.8335802663242998,0.4061284911090247
Facebook,5,91,1.256446197769231,1.1703948246777776,7.35233711539558,1.051128822594454,0.2952928830957903
Facebook,6,91,1.2769973186373627,1.1634683357925926,9.757805979947909,1.3929712950352833,0.16617236051589473
Facebook,7,91,1.274294021978022,1.164379446888889,9.439755689849584,1.4065530883664672,0.16198278391953042
