variable,std_beta,t,p_value,abs_beta
Facebook View,-0.2161069711937176,-1.6472037173414804,0.10050084036518747,0.2161069711937176
TikTok View,0.1960134709866737,3.10133410377878,0.0020985032058373765,0.1960134709866737
Facebook Follow,0.1534675478089087,1.1407800044930438,0.2548171898954539,0.1534675478089087
Public Sector Salary,-0.14736789838398637,-2.638143770029217,0.008744876976191529,0.14736789838398637
IsWeekend,-0.11469160365027511,-2.162189919942323,0.03134661799409555,0.11469160365027511
Instagram Followers,0.10707543862633363,1.130594817506551,0.25907498045032984,0.10707543862633363
School,0.09391444643868224,1.2547556278853296,0.2104859934504668,0.09391444643868224
University,0.08014837949997036,1.078607450815325,0.2815776589456138,0.08014837949997036
Private Sector Salary,0.06946446337386036,1.3049093589234408,0.192864235820553,0.06946446337386036
Public Sector Holidays,0.060858412068828714,0.9952868874547479,0.32035110877757944,0.060858412068828714
Influencer Post,0.04705462722361348,0.8450780013237876,0.3987006631940355,0.04705462722361348
Had Event,0.04508422784589737,0.758968020636396,0.4484321141025023,0.04508422784589737
Instagram View,0.0425623673485792,0.4541075285570207,0.6500602443540453,0.0425623673485792
